"607","基改食品究竟安全嗎？ - PanSci 泛科學","http://pansci.asia/archives/61656","基改食品究竟安全嗎？ - PanSci 泛科學"
"608","基因改造食品- 维基百科，自由的百科全书","https://zh.wikipedia.org/zh-tw/%E5%9F%BA%E5%9B%A0%E6%94%B9%E9%80%A0%E9%A3%9F%E5%93%81","基因改造食品- 维基百科，自由的百科全书"
"609","基改食品究竟安全嗎？ - PanSci 泛科學","http://pansci.asia/archives/61656","基改食品究竟安全嗎？ - PanSci 泛科學"
"610","『基因改造食品』將為人類帶來是福？是禍？","http://www.taifer.com.tw/taifer/tf/051001/48.html","『基因改造食品』將為人類帶來是福？是禍？"
"611","【基改追追追】生活中的基因改造食物有哪些?台灣目前可種植 ... - 農傳媒","https://www.agriharvest.tw/theme_data.php?theme=article&sub_theme=article&id=335","【基改追追追】生活中的基因改造食物有哪些?台灣目前可種植 ... - 農傳媒"
"612","【參考】美國正式宣布基改食品有毒@ Peaceful :: 痞客邦::","http://san23.pixnet.net/blog/post/57907488-%E3%80%90%E5%8F%83%E8%80%83%E3%80%91%E7%BE%8E%E5%9C%8B%E6%AD%A3%E5%BC%8F%E5%AE%A3%E5%B8%83%E5%9F%BA%E6%94%B9%E9%A3%9F%E5%93%81%E6%9C%89%E6%AF%92","【參考】美國正式宣布基改食品有毒@ Peaceful :: 痞客邦::"
"613","基因改造食品管理專區 - 衛生福利部食品藥物管理署","https://www.fda.gov.tw/TC/site.aspx?sid=3950","基因改造食品管理專區 - 衛生福利部食品藥物管理署"
"614","基因改造食品管理專區 - 衛生福利部食品藥物管理署","https://www.fda.gov.tw/tc/sitecontent.aspx?sid=3964","基因改造食品管理專區 - 衛生福利部食品藥物管理署"
"615","壹、何謂基因改造食品 - 衛生福利部食品藥物管理署","https://www.fda.gov.tw/tc/sitecontent.aspx?sid=3951","壹、何謂基因改造食品 - 衛生福利部食品藥物管理署"
"616","基因改造食物安全嗎？ - 科學人雜誌","http://sa.ylib.com/read/readshow.asp?FDocNo=5","基因改造食物安全嗎？ - 科學人雜誌"
"617","[闢謠]謠傳美國正式宣布基因改造食物含有嚴重的毒素，這是真的嗎？-大 ...","http://www.ttet.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=198&index=7","[闢謠]謠傳美國正式宣布基因改造食物含有嚴重的毒素，這是真的嗎？-大 ..."
"618","《基改食品的秘密》 奪回飲食知情選擇權| 台灣環境資訊協會-環境資訊中心","http://e-info.org.tw/node/202312","《基改食品的秘密》 奪回飲食知情選擇權| 台灣環境資訊協會-環境資訊中心"
"619","吃基改食品不安全 - GMO面面觀","http://gmo.agron.ntu.edu.tw/noGM/gm-talk/gmtalk03.htm","吃基改食品不安全 - GMO面面觀"
"620","吃基改食品安全嗎？ 完整告訴你什麼是基因改造食品| ETtoday健康雲 ...","https://health.ettoday.net/news/718862","吃基改食品安全嗎？ 完整告訴你什麼是基因改造食品| ETtoday健康雲 ..."
"621","基因改造作物先誰先受害？是環境還是人？ | TechNews 科技新報","https://technews.tw/2014/07/19/gm-crop/","基因改造作物先誰先受害？是環境還是人？ | TechNews 科技新報"
"622","台灣基改農產品有哪些？從哪裡來？ @ 食力foodNEXT‧食事求實的知識 ...","http://www.foodnext.net/science/scsource/paper/4852926145","台灣基改農產品有哪些？從哪裡來？ @ 食力foodNEXT‧食事求實的知識 ..."
"623","選擇基改食物之前，應該知道的3件事@ 食力foodNEXT‧食事求實的知識 ...","http://www.foodnext.net/column/columnist/paper/4739549751","選擇基改食物之前，應該知道的3件事@ 食力foodNEXT‧食事求實的知識 ..."
"624","基因改造食品可以吃嗎？ – 每日一冷– 你的冷知識入口","http://www.dailycold.tw/10101/gmofoodcontroversies/","基因改造食品可以吃嗎？ – 每日一冷– 你的冷知識入口"
"625","基因改造食物安全嗎（賴秀穗） | 蘋果日報","https://tw.appledaily.com/headline/daily/20170107/37512306","基因改造食物安全嗎（賴秀穗） | 蘋果日報"
"626","基改作物有害身體健康？美科學院表示：證據不足- The News Lens 關鍵 ...","https://www.thenewslens.com/article/40014","基改作物有害身體健康？美科學院表示：證據不足- The News Lens 關鍵 ..."
"627","【生活小百科】 非基改食品怎麼找？ | IN生活","http://web-inlife.com/?q=node/214","【生活小百科】 非基改食品怎麼找？ | IN生活"
"628","[PDF]
基改食品 - 交通大學","http://ocw.nctu.edu.tw/course/fsl042/fsl042_160421_GMfood.pdf","[PDF]
基改食品 - 交通大學"
"629","基改食物能吃嗎？ | 元氣網","https://health.udn.com/health/story/6037/475157","基改食物能吃嗎？ | 元氣網"
"630","投書：黑影幢幢的基因改造食品-- 上報/ 評論","http://www.upmedia.mg/news_info.php?SerialNo=15780","投書：黑影幢幢的基因改造食品-- 上報/ 評論"
"631","立法院決議校園膳食禁用基改食品- 政治- 自由時報電子報","http://news.ltn.com.tw/news/politics/breakingnews/2032662","立法院決議校園膳食禁用基改食品- 政治- 自由時報電子報"
"632","你錯了！基改食品到底安全否？ - CTnews話題","http://hottopic.chinatimes.com/20160521002052-260804","你錯了！基改食品到底安全否？ - CTnews話題"
"633","實際上，基改作物對人體有害嗎？ | 食在很重要 - 觀樹教育基金會","http://www.kskk.org.tw/food/node/112","實際上，基改作物對人體有害嗎？ | 食在很重要 - 觀樹教育基金會"
"634","基改食品藏民間? 帶您揭密'隱藏版'! 中視新聞20170619 - YouTube","https://www.youtube.com/watch?v=6EItegCXaME","基改食品藏民間? 帶您揭密'隱藏版'! 中視新聞20170619 - YouTube"
"635","消費者對基因改造食品標示問題關切原因之探討(農委會)","https://www.coa.gov.tw/ws.php?id=7661","消費者對基因改造食品標示問題關切原因之探討(農委會)"
"636","基改食品檢驗自己來| 主婦聯盟環境保護基金會","http://www.huf.org.tw/essay/content/3955","基改食品檢驗自己來| 主婦聯盟環境保護基金會"
"637","基改食品為什麼不安全？答案可能跟你想得不太一樣-陳思廷-康健名家觀點","http://www.commonhealth.com.tw/blog/blogTopic.action?nid=1910","基改食品為什麼不安全？答案可能跟你想得不太一樣-陳思廷-康健名家觀點"
