"9","核動力- 维基百科，自由的百科全书","https://zh.wikipedia.org/zh-tw/%E6%A0%B8%E5%8B%95%E5%8A%9B","核動力- 维基百科，自由的百科全书"
"10","核能- 维基百科，自由的百科全书","https://zh.wikipedia.org/zh-tw/%E6%A0%B8%E8%83%BD","核能- 维基百科，自由的百科全书"
"11","核能的優點和缺點| 核能與我 - 設計者：陳緯庭 - WordPress.com","https://kts1d5.wordpress.com/%E6%A0%B8%E8%83%BD%E5%84%AA%E9%BB%9E%E5%92%8C%E7%BC%BA%E9%BB%9E/","核能的優點和缺點| 核能與我 - 設計者：陳緯庭 - WordPress.com"
"12","核能| TechNews 科技新報","https://technews.tw/category/%E8%83%BD%E6%BA%90%E7%A7%91%E6%8A%80/nuclear/","核能| TechNews 科技新報"
"13","甚麼是核能| 核電| 中電集團 - CLP Group","https://www.clpgroup.com/NuclearEnergy/Chi/science/science3_1.aspx","甚麼是核能| 核電| 中電集團 - CLP Group"
"14","核能的發展史| 核電| 中電集團 - CLP Group","https://www.clpgroup.com/nuclearenergy/Chi/science/science3_3.aspx","核能的發展史| 核電| 中電集團 - CLP Group"
"15","核能流言終結者","http://nuclearmb.org/","核能流言終結者"
"16","核能","http://web.cc.ntnu.edu.tw/~497700231/may29.htm","核能"
"17","火力發電vs 核能發電：誰的殺傷力大- PanSci 泛科學","http://pansci.asia/archives/59450","火力發電vs 核能發電：誰的殺傷力大- PanSci 泛科學"
"18","核能還有未來嗎？ - 中時電子報","http://www.chinatimes.com/newspapers/20170709000209-260209","核能還有未來嗎？ - 中時電子報"
"19","核能- MBA智库百科","http://wiki.mbalib.com/zh-tw/%E6%A0%B8%E8%83%BD","核能- MBA智库百科"
"20","【核能發電】從台灣停電到平衡環保與發展｜馬新維｜香港01｜博評","https://www.hk01.com/01%E5%8D%9A%E8%A9%95-%E6%94%BF%E7%B6%93%E7%A4%BE/112908/-%E6%A0%B8%E8%83%BD%E7%99%BC%E9%9B%BB-%E5%8D%9A%E8%A9%95-%E5%BE%9E%E5%8F%B0%E7%81%A3%E5%81%9C%E9%9B%BB%E5%88%B0%E5%B9%B3%E8%A1%A1%E7%92%B0%E4%BF%9D%E8%88%87%E7%99%BC%E5%B1%95","【核能發電】從台灣停電到平衡環保與發展｜馬新維｜香港01｜博評"
"21","核能發電3d動畫- YouTube","https://www.youtube.com/watch?v=WrmZwq3yyAU","核能發電3d動畫- YouTube"
"22","引領「全球核能復興」 大陸2030年前要蓋100座核電廠 - ETtoday新聞雲","https://www.ettoday.net/news/20171101/1042953.htm","引領「全球核能復興」 大陸2030年前要蓋100座核電廠 - ETtoday新聞雲"
"23","輻射小知識- 取之不盡的核能","http://www.hko.gov.hk/prtver/html/docs/radiation/tidbit/200906/ne_uc.shtml","輻射小知識- 取之不盡的核能"
"24","核電與科技：核能發電的原理@ 核電議題你知多少？ :: 痞客邦PIXNET ::","http://medialiteracy.pixnet.net/blog/post/80267760-%E6%A0%B8%E9%9B%BB%E8%88%87%E7%A7%91%E6%8A%80%EF%BC%9A%E6%A0%B8%E8%83%BD%E7%99%BC%E9%9B%BB%E7%9A%84%E5%8E%9F%E7%90%86","核電與科技：核能發電的原理@ 核電議題你知多少？ :: 痞客邦PIXNET ::"
