"108","有關 網路對學生的影響 的學術文章","http://scholar.google.com.tw/scholar?q=%E7%B6%B2%E8%B7%AF%E5%B0%8D%E5%AD%B8%E7%94%9F%E7%9A%84%E5%BD%B1%E9%9F%BF&hl=zh-TW&as_sdt=0&as_vis=1&oi=scholart&sa=X&ved=0ahUKEwjqjoLfydjZAhUHjZQKHS_6B-MQgQMIKDAA","有關 網路對學生的影響 的學術文章"
"109","網路遊戲對學生的影響- 中小學網路素養與認知","https://eteacher.edu.tw/Article.aspx?id=222","網路遊戲對學生的影響- 中小學網路素養與認知"
"110","[PDF]
網路對學生的影響","http://museum.lib.nctu.edu.tw/share/ys/ys0358-05.pdf","[PDF]
網路對學生的影響"
"111","[PDF]
大學生網路使用行為與網路影響之研究 - 高苑科技大學","http://www.kyu.edu.tw/volume/volume17/17-2/02-12.pdf","[PDF]
大學生網路使用行為與網路影響之研究 - 高苑科技大學"
"112","[PDF]
網路使用之態度、動機與影響 - 南華大學","http://www.nhu.edu.tw/~society/jccic/12/fu/12-03.pdf","[PDF]
網路使用之態度、動機與影響 - 南華大學"
"113","[PDF]
網際網路對羅東高商學生之影響研究 - 中學生網站","http://www.shs.edu.tw/works/essay/2009/03/2009033116132906.pdf","[PDF]
網際網路對羅東高商學生之影響研究 - 中學生網站"
"114","[PDF]
網路對青少年的影響 - 瑞祥高中圖書館","http://lib.rssh.kh.edu.tw/essay/94essay/67.pdf","[PDF]
網路對青少年的影響 - 瑞祥高中圖書館"
"115","網路對學生的影響| Yahoo奇摩知識+","https://tw.answers.yahoo.com/question/index?qid=20101030000016KK00464","網路對學生的影響| Yahoo奇摩知識+"
"116","[DOC]
網絡語言對學生的影響 - 教學資源庫","https://resources.hkedcity.net/downloadResource.php?rid=188463177&pid=113444950","[DOC]
網絡語言對學生的影響 - 教學資源庫"
"117","網路沈迷可能成因與因應策略 - 國立成功大學學生事務處","http://stud.adm.ncku.edu.tw/stu/chinese/communication/vol-21/love005.htm","網路沈迷可能成因與因應策略 - 國立成功大學學生事務處"
"118","[PDF]
手機網路對學生習專心度的影響 - 臺南市私立崑山高級中學","http://www.kssh.tn.edu.tw/ezfiles/0/1000/img/17/143096864.pdf","[PDF]
手機網路對學生習專心度的影響 - 臺南市私立崑山高級中學"
"119","[PDF]
影響學生學業成就與網路使用行為之相關研究 以桃園縣一所 ... - NTCUIR","http://ntcuir.ntcu.edu.tw/bitstream/987654321/6056/2/%E6%95%B8%E7%90%86%E9%A1%9E%EF%BC%88%E9%BB%83%E9%80%A3%E8%88%88%EF%BC%89.pdf","[PDF]
影響學生學業成就與網路使用行為之相關研究 以桃園縣一所 ... - NTCUIR"
"120","網路成癮對學生的影響與因應之道- 臺北市立內湖高工","http://web.nihs.tp.edu.tw/files/16-1001-2859.php","網路成癮對學生的影響與因應之道- 臺北市立內湖高工"
"121","[PDF]
第一章研究動機","http://teacher.sjps.ptc.edu.tw/sjpsweb/online_tool/xoops/modules/tad_uploader/index.php?op=dlfile&cfsn=127&cat_sn=30","[PDF]
第一章研究動機"
"122","網路科技對教育的影響","http://cmr.ba.ouhk.edu.hk/cmr/oldweb/n5/981025.html","網路科技對教育的影響"
"123","科技產品對學生弊大於利？ | 大紀元","http://www.epochtimes.com/b5/15/3/17/n4389972.htm","科技產品對學生弊大於利？ | 大紀元"
"124","[PDF]
探討現今科技發達時代對學生之影響作者 - 育達高中","http://ydweb.yuda.tyc.edu.tw/Page/BBP/BBP_Upload/333/9038/%E9%99%84%E4%BB%B609_20120406022824.pdf","[PDF]
探討現今科技發達時代對學生之影響作者 - 育達高中"
"125","[PDF]
國小學生網路成癮個案研究 - 國家教育研究院","https://www.naer.edu.tw/ezfiles/0/1000/attach/62/pta_6113_5002739_31220.pdf","[PDF]
國小學生網路成癮個案研究 - 國家教育研究院"
"126","第四節電腦網路對青少年性知識的影響 - 有愛無礙For General","https://general.dale.nthu.edu.tw/special/special-4-7-4.html","第四節電腦網路對青少年性知識的影響 - 有愛無礙For General"
